reporting_org_ref,registry_id,org_type,org_name,abbreviation,usability_score,tracker_commit,tracker_spend,latest_txn_year,hq_country,CRS_codes,IATI_organisation_type,IATI_organisation_name,country
XM-DAC-46009,caribank,IFI,Caribbean Development Bank,, ,,,2021,,,Multilateral,Caribbean Development Bank (CDB),
XM-DAC-21016,icrc,Multilateral,International Committee of the Red Cross,ICRC,C0D2,No,Yes,2021,CH,,Multilateral,International Committee of the Red Cross (ICRC),International Committee of the Red Cross
XM-DAC-30010,utd,Multilateral,UN - UNITAID,UNITAID,C0D2,Yes,Yes,2021,CH,,Multilateral,UNITAID,Unitaid
XM-DAC-301-2,idrccrdi,Bilateral,Canada - International Development Research Centre,,C0D0,No,No,2020,CA,,Other Public Sector,Canada - International Development Research Centre/Centre de recherches pour le d̩veloppement international,Canada
XM-DAC-43000,imf,IFI,International Monetary Fund,IMF, ,,,2018,US,,Multilateral,International Monetary Fund,
XM-DAC-3-1,danida,Bilateral,Denmark - Ministry of Foreign Affairs,,C2D2,Yes,Yes,2021,DK,3,Government,"Denmark - Ministry of Foreign Affairs, Danida",Denmark
XI-IATI-WBTF,wbtf,IFI,World Bank Trust Funds,,C1D1,,,2021,US,,Multilateral,World Bank Trust Funds,
XM-DAC-47111,af,Multilateral,Adaptation Fund,, ,,,#N/A,US,,Multilateral,Adaptation Fund,
XI-IATI-AGR,agresults,Multilateral,AgResults Initiative,, ,,,#N/A,,,Multilateral,AgResults Initiative,
XI-IATI-CABI,cabi,Multilateral,CABI,, ,,,2021,,,Multilateral,CABI,
47135,cif,Multilateral,Climate Investment Funds,CIF, ,,,#N/A,,,Multilateral,Climate Investment Funds,
NO-BRC-917687811,cepi,Multilateral,Coalition for Epidemic Preparedness innovations,, ,,,2021,NO,,International NGO,Coalition for Epidemic Preparedness Innovations,
XM-DAC-1409,eif,Multilateral,Enhanced Integrated Framework,, ,,,2018,CH,,Multilateral,Enhanced Integrated Framework,
XM-DAC-41108,ifad,Multilateral,International Fund for Agricultural Development,IFAD,C1D2,Yes,Yes,2021,,,Multilateral,International Fund for Agricultural Development (IFAD),International Fund for Agricultural Development
XI-BRIDGE-6385676864,gef,Multilateral,Global Environment Facility,, ,,,2021,US,,Multilateral,GEF Secretariat,
XM-DAC-47136,gggi,Multilateral,Global Green Growth Institute (GGGI),, ,,,2020,,,Multilateral,Global Green Growth Institute (GGGI),
XM-DAC-47501,gpe,Multilateral,Global Partnership for Education,GPE, ,,,#N/A,US,,Multilateral,Global Partnership for Education,
ZA-PBO-7270782362,,,,,,,,,,,,,
ZW-ROD-MA988-87,,,,,,,,,,,,,
XM-DAC-41110,unaids,Multilateral,UN - UNAIDS,UNAIDS,C0D0,No,No,2021,CH,,Multilateral,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),UNAIDS
XM-DAC-41114,undp,Multilateral,UN - UNDP,UNDP,C0D2,No,Yes,2021,,,Multilateral,United Nations Development Programme (UNDP),UNDP
HK-CR-2288921,,,,,,,,,,,,,
ET-CSA-1128,,,,,,,,,,,,,
XM-DAC-41121,unhcr,Multilateral,UN - UNHCR,UNHCR,C0D0,No,No,2021,CH,,Multilateral,United Nations High Commissioner for Refugees (UNHCR),UNHCR
XM-DAC-47058,idea,Multilateral,International IDEA,, ,,,2020,SE,,Multilateral,International IDEA,
XM-DAC-41302,ilo,Multilateral,International Labour Organization,ILO, ,,,2019,CH,,Multilateral,International Labour Organization (ILO),
XM-DAC-47064,inbar,Multilateral,International Network for Bamboo and Rattan (INBAR),, ,,,#N/A,,,Multilateral,International Network for Bamboo and Rattan (INBAR),
XM-DAC-47066,iom,Multilateral,International Organization for Migration,IOM,C0D0,,,2021,CH,,Multilateral,International Organization for Migration (IOM),
XM-DAC-47021,cip,Multilateral,International Potato Center,, ,,,2021,PE,,Multilateral,International Potato Center,
XM-DAC-41122,unicef,Multilateral,UN - UNICEF,UNICEF,C1D2,Yes,Yes,2021,,,Multilateral,United Nations Children's Fund (UNICEF),UNICEF
XM-DAC-47080,oecd,Multilateral,OECD,OECD, ,,,2020,FR,,Multilateral,OECD,
XI-IATI-OFID,ofid,Multilateral,OPEC Fund for International Development,OFID, ,,,2020,AT,,Multilateral,The OPEC Fund for International Development (OFID),
XM-DAC-47086,pidg,Multilateral,Private Infrastructure Development Group,, ,,,2018,GB,,Multilateral,Private Infrastructure Development Group,
XI-IATI-CWSEC,commonwealthsecretariat,Multilateral,The Commonwealth Secretariat,, ,,,2021,,,Multilateral,The Commonwealth Secretariat,
XM-DAC-41123,unido,Multilateral,UN - UNIDO,UNIDO,C0D1,No,Yes,2021,,,Multilateral,United Nations Industrial Development Organization (UNIDO),UNIDO
XM-DAC-41111,uncdf,Multilateral,UN - Capital Development Fund,UNCDF, ,,,2020,US,,Multilateral,United Nations Capital Development Fund,
XM-DAC-41116,un-environment,Multilateral,UN - Environment Programme,UNEP, ,,,2021,,,Multilateral,United Nations Environment Programme (UNEP),
XM-DAC-41301,fao,Multilateral,UN - FAO,FAO, ,,,#N/A,IT,,Multilateral,Food and Agriculture Organization of the United Nations (FAO),
41120,unhabitat,Multilateral,UN - Habitat,,C0D0,,,2020,,,Multilateral,UN-Habitat,
XM-OCHA-CBPF,unocha-cbpf,Multilateral,UN - OCHA Country Based Pooled Funds,, ,,,2021,,,Multilateral,OCHA Country Based Pooled Funds,
XI-IATI-UNPF,unpf,Multilateral,UN - Pooled Funds,, ,,,2019,,,Multilateral,UN Pooled Funds,
XM-DAC-41127,unocha,Multilateral,UN - UNOCHA,UNOCHA,C0D2,Yes,Yes,2021,CH,,Multilateral,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),UNOCHA
XM-DAC-41146,unw,Multilateral,UN - UN Women,,C1D1,,,2021,,,Multilateral,UN Women,
XM-DAC-41130,unrwa,Multilateral,UN - UNRWA,UNRWA,C0D1,No,No,#N/A,,,Multilateral,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),UNRWA
XM-DAC-41140,wfp,Multilateral,World Food Programme,WFP,C2D2,Yes,Yes,2021,IT,,Multilateral,United Nations World Food Programme (WFP),World Food Programme
XM-DAC-41304,unesco,Multilateral,UN - UNESCO,UNESCO, ,,,2021,FR,,Multilateral,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",
XM-DAC-46002,afdb,IFI,African Development Bank,AfDB,,Yes,Yes,,,,Multilateral,African Development Bank,African Development Bank Group
XM-DAC-46004,asdb,IFI,Asian Development Bank,AsDB, ,Yes,Yes,2021,,,Multilateral,Asian Development Bank,Asian Development Bank
XM-DAC-47059,idlo,Multilateral,International Development Law Organization,IBLO, ,No,Yes,2021,IT,,Multilateral,International Development Law Organization (IDLO),International Development Law Organization (IDLO)
XM-DAC-5-7,fo_germany,Bilateral,Germany - Federal Foreign Office,,C2D2,Yes,Yes,2021,DE,5*7,Government,Germany - Federal Foreign Office,Germany
XM-DAC-7,minbuza_nl,Bilateral,Netherlands - Ministry of Foreign Affairs,MinBuza,C2D2,Yes,Yes,2021,NL,7,Government,Netherlands - Ministry of Foreign Affairs,Netherlands
XI-IATI-OCHASDC,unocha-sdc,Multilateral,UN - UNOCHA (Specially-Designated Contributions),, ,,,2021,US,,Multilateral,United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),
XM-DAC-903,ifcwbg,IFI,International Finance Corporation,IFC,C2D0,Yes,No,2021,US,,Multilateral,International Finance Corporation,International Finance Corporation
41AAA,unops,Multilateral,UN - UNOPS,,C0D2,,,2021,,,Multilateral,United Nations Office for Project Services (UNOPS),
XM-DAC-918-3,eib,Bilateral,EC - European Investment Bank,EIB,C2D0,Yes,No,2021,,,Multilateral,European Investment Bank,European Commission
XM-OCHA-CERF,cerf,Multilateral,UN - UNOCHA CERF,CERF,C0D2,No,Yes,2021,US,,Multilateral,United Nations Central Emergency Response Fund (CERF),UNOCHA
XM-DAC-928,who,Multilateral,World Health Organization,WHO,C1D1,,,2021,CH,,Multilateral,World Health Organization,
NP-SWC-8220,ask,NGO,Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),, ,,,2018,NP,,National NGO,Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),
NP-SWC-27693,aasaman,NGO,Aasaman Nepal,, ,,,2017,NP,,National NGO,Aasaman Nepal,
LB-MOI-497,arcfge,NGO,ABAAD - Resource Center for Gender Equality,, ,,,2020,LB,,National NGO,ABAAD - Resource Center for Gender Equality,
GB-CHC-1157009,abaseen,NGO,Abaseen Foundation UK,, ,,,2017,GB,,International NGO,Abaseen Foundation UK,
GB-CHC-326859,ablechildafrica,NGO,Able Child Africa,, ,,,2021,GB,,International NGO,Able Child Africa,
NP-SWC-46024,acceleratornepal,NGO,Accelerator Nepal,, ,,,2019,NP,,National NGO,Accelerator Nepal,
NL-KVK-70292361,atsf,NGO,Access to Seeds Foundation,, ,,,#N/A,NL,,International NGO,Access to Seeds Foundation,
US-EIN-45-4613016,alab,NGO,Accountability Lab,, ,,,2019,US,,National NGO,Accountability Lab,
GB-CHC-1173827,accountablenow,NGO,Accountable Now,, ,,,#N/A,GB,,International NGO,Accountable Now,
PK-VSWA-511-2007,_admin,NGO,Acid Survivors Foundation,, ,,,2016,PK,,National NGO,Acid Survivors Foundation,
BE-BCE_KBO-0462279234,acodev,NGO,ACODEV,, ,,,2021,BE,,National NGO,ACODEV,
KE-NGC-9381,across,NGO,Across,, ,,,2015,KE,,International NGO,Across,
CH-FDJP-66006990023,act_alliance,NGO,ACT Alliance,, ,,,#N/A,CH,,International NGO,ACT Alliance,
GB-COH-04276635,act4africa,NGO,act4africa,, ,,,2017,GB,,International NGO,act4africa,
FR-SIRET-4028868160030,acted,NGO,ACTED,, ,,,#N/A,FR,,International NGO,ACTED,
ET-CSA-0081,,,,,,,,,,,,,
CA-CC-1347404-6,,,,,,,,,,,,,
ES-CIF-G81164105,acfspain,NGO,ACTION AGAINST HUNGER SPAIN,, ,,,2018,ES,,International NGO,ACTION AGAINST HUNGER SPAIN,
GB-CHC-1047501,acf,NGO,Action Against Hunger UK,, ,,,2021,GB,,International NGO,Action Against Hunger UK,
US-EIN-13-3327220,aahusa,NGO,Action Against Hunger USA,, ,,,2021,US,,International NGO,Action Against Hunger USA,
CA-CRA_ACR-107848319,acfshr,NGO,Action Canada for Sexual Health and Rights,, ,,,#N/A,CA,,International NGO,Action Canada for Sexual Health and Rights,
FR-RCS-31899089200065,acf-fr,NGO,Action Contre la Faim,, ,,,2019,FR,,International NGO,Action Contre la Faim,
US-EIN-52-2042014,,,,,,,,,,,,,
BD-NAB-0210,aab,NGO,ActionAid Bangladesh,, ,,,2020,BD,,International NGO,ActionAid Bangladesh,
DK-CVR-18243717,aadk,NGO,ActionAid Denmark (Mellemfolkeligt Samvirke),, ,,,2021,DK,,International NGO,ActionAid Denmark (Mellemfolkeligt Samvirke),
GH-DSW-3064,aag,NGO,ActionAid Ghana,, ,,,2020,GH,,National NGO,ActionAid Ghana,
NL-KVK-27264198,aai,NGO,ActionAid International,, ,,,2020,NL,,International NGO,ActionAid International,
KE-NCB-OP/218/051/924/84,aaik,NGO,ACTIONAID INTERNATIONAL KENYA,, ,,,2021,KE,,International NGO,ACTIONAID INTERNATIONAL KENYA,
RW-RGB-61-RGB-NGO-2017,aar,NGO,ActionAid Rwanda,, ,,,2021,RW,,National NGO,ActionAid Rwanda,
GB-CHC-274467,aauk,NGO,ActionAid UK,, ,,,2021,GB,,International NGO,ActionAid UK,
US-EIN-134166228,acumen,NGO,Acumen,, ,,,2021,US,,International NGO,Acumen,
GB-COH-294860,addinternational,NGO,ADD International (Action on Disability and Development),, ,,,2021,GB,,International NGO,ADD International (Action on Disability and Development),
DK-CVR-20074035,adra-dk,NGO,ADRA Denmark,, ,,,2021,DK,,National NGO,ADRA Denmark,
GB-CHC-1074937,adrauk,NGO,ADRA-UK,, ,,,2020,GB,,International NGO,ADRA-UK,
KE-NGC-663,adrasom,NGO,Adventist Development and Relief Agency (ADRA Somalia),, ,,,2016,SO,,International NGO,Adventist Development and Relief Agency (ADRA Somalia),
NP-IRD-302113730,adra_nepal,NGO,"Adventist Development and Relief Agency, Nepal",, ,,,#N/A,NP,,International NGO,"Adventist Development and Relief Agency, Nepal",
US-EIN-522044704,aeras,NGO,Aeras,, ,,,2018,US,,International NGO,Aeras,
NL-KVK-34148682,afewinternational,NGO,AFEW International,, ,,,2020,NL,,International NGO,AFEW International,
GB-CHC-1045348,afghanaid,NGO,Afghanaid,, ,,,2021,GB,,International NGO,Afghanaid,
GB-CHC-1096908,acaa,NGO,Afghanistan and Central Asian Association,, ,,,2017,GB,,International NGO,Afghanistan and Central Asian Association,
GB-CHC-313139,aet,NGO,Africa Educational Trust,, ,,,2019,GB,,International NGO,Africa Educational Trust,
KE-NCB-218-051-9341-334,aas,NGO,African Academy of Sciences,, ,,,#N/A,KE,,International NGO,African Academy of Sciences,
US-EIN-11-3803281,acet,NGO,African Center for Economic Transformation (ACET),, ,,,2021,US,,Regional NGO,African Center for Economic Transformation (ACET),
UG-RSB-73316,achest,NGO,African Centre for Global Health and Social Transformation,, ,,,2020,UG,,International NGO,African Centre for Global Health and Social Transformation,
GB-CHC-1064413,ai_1064413,NGO,African Initiatives,, ,,,2021,GB,,International NGO,African Initiatives,
KE-KRA-P051335339D,afidep,NGO,African Institute For Development Policy,, ,,,#N/A,KE,,International NGO,African Institute For Development Policy,
ZA-CIP-2007-0308903-08,african_parks,NGO,African Parks Network,, ,,,2019,ZA,,International NGO,African Parks Network,
US-EIN-06-1608361,aphrc,NGO,African Population and Health Research Center,, ,,,2017,US,,International NGO,African Population and Health Research Center,
GB-CHC-1108718,africanrevival,NGO,African Revival,, ,,,2017,GB,,International NGO,African Revival,
XI-BRIDGE-3665722432,ataf,NGO,African Tax Administration Forum,, ,,,#N/A,ZA,,International NGO,African Tax Administration Forum,
KE-KRA-P000634725S,femnet,NGO,African Women's Development and Communication Network,, ,,,2021,KE,,Regional NGO,African Women's Development and Communication Network,
GH-DSW-2046,awdf,NGO,African Women's Development Fund,, ,,,2020,GH,,Regional NGO,African Women's Development Fund,
SE-ON-802007-2446,afrikagrupperna,NGO,Afrikagrupperna Sweden,, ,,,2018,SE,,International NGO,Afrikagrupperna Sweden,
GB-CHC-1141028,afrikids,NGO,AfriKids,, ,,,2021,GB,,International NGO,AfriKids,
GB-COH-1100897,akfuk73,NGO,Aga Khan Foundation (United Kingdom),, ,,,2021,GB,,International NGO,Aga Khan Foundation (United Kingdom),
GB-CHC-283302,acord,NGO,Agency for Cooperation and Research in Development (ACORD),, ,,,2016,GB,,International NGO,Agency for Cooperation and Research in Development (ACORD),
NL-KVK-41207989,nl-kvk-41207989,NGO,Aidsfonds - Soa Aids Nederland,, ,,,2021,NL,,International NGO,Aidsfonds - Soa Aids Nederland,
US-EIN-32-0060251,aidspan,NGO,AIDSPAN,, ,,,2018,US,,International NGO,AIDSPAN,
mz-moj-64vq1,adpp,NGO,Ajuda de Desenvolvimento de Povo para Povo (ADPP),, ,,,2015,MZ,,National NGO,Ajuda de Desenvolvimento de Povo para Povo (ADPP),
NL-KVK-27327087,akvo,NGO,Akvo Foundation,, ,,,2020,NL,,International NGO,Akvo Foundation,
LB-MOI-1-100,al_majmoua,NGO,Al Majmoua,, ,,,2019,LB,,National NGO,Al Majmoua,
MZ-MOJ-203D,alfalit,NGO,Alfalit,, ,,,2016,MZ,,National NGO,Alfalit,
GB-CHC-291691,allwecan,NGO,All We Can (formerly Methodist Relief and Development Fund),, ,,,2015,GB,,International NGO,All We Can (formerly Methodist Relief and Development Fund),
US-EIN-98-0513530,agra,NGO,Alliance for a Green Revolution for Africa,, ,,,2020,US,,International NGO,Alliance for a Green Revolution for Africa,
GB-CHC-1047608,alliance_of_religions_and_conservation,NGO,Alliance of Religions and Conservation,, ,,,2019,GB,,International NGO,Alliance of Religions and Conservation,
NL-KVK-40530953,amnesty,NGO,Amnesty International The Netherlands,, ,,,2021,NL,,International NGO,Amnesty International The Netherlands,
GB-CHC-1051681,aiuk,NGO,Amnesty International UK Section Charitable Trust,, ,,,#N/A,GB,,International NGO,Amnesty International UK Section Charitable Trust,
NL-KVK-41150298,amrefnl,NGO,Amref Flying Doctors,, ,,,2021,NL,,National NGO,Amref Flying Doctors,
GB-CHC-261488,amrefha,NGO,Amref Health Africa - UK,, ,,,2021,GB,,International NGO,Amref Health Africa - UK,
KE-RCO-C1-61,amrefhq,NGO,Amref Health Africa Headquarters,, ,,,2019,KE,,International NGO,Amref Health Africa Headquarters,
ET-MFA-0001989741,amrefeth,NGO,Amref Health Africa in Ethiopia,, ,,,2020,ET,,International NGO,Amref Health Africa in Ethiopia,
EG-MOSS-3959350,,,,,,,,,,,,,
KE-NCB-93175,amrefkenya,NGO,Amref Health Africa in Kenya,, ,,,2021,KE,,International NGO,Amref Health Africa in Kenya,
TZ-BRLA-4368,amreftz,NGO,Amref Health Africa in Tanzania,, ,,,2019,TZ,,International NGO,Amref Health Africa in Tanzania,
UG-NGB-5914-252,amrefug,NGO,Amref Health Africa in Uganda,, ,,,2018,UG,,National NGO,Amref Health Africa in Uganda,
MW-NBM-R1527,amrefmw,NGO,Amref Health Africa Malawi,, ,,,2019,MW,,National NGO,Amref Health Africa Malawi,
UG-NGO-1317,,,,,,,,,,,,,
US-EIN-US-EIN-13-2702768,,,,,,,,,,,,,
US-EIN-US-EIN-300739799,,,,,,,,,,,,,
KE-NCB-OP21805193101154,amurt_kenya,NGO,Ananda Marga Universal Relief Team (AMURT) Africa,, ,,,2018,KE,,National NGO,Ananda Marga Universal Relief Team (AMURT) Africa,
MZ-MOJ-F30G1No89,anda,NGO,ANDA,, ,,,2016,MZ,,National NGO,ANDA,
GB-CHC-1049160,asil,NGO,Anti-Slavery International,, ,,,2021,GB,,International NGO,Anti-Slavery International,
GB-CHC-290836,apt,NGO,APT Action on Poverty,, ,,,2021,GB,,International NGO,APT Action on Poverty,
LB-MOI-18291,afemena,NGO,Arab foundation for freedoms and equality,, ,,,2019,LB,,Regional NGO,Arab foundation for freedoms and equality,
GB-COH-04589451,ark,NGO,ARK (Absolute Return for Kids),, ,,,2020,GB,,International NGO,ARK (Absolute Return for Kids),
GB-CHC-327421,art19,NGO,Article19,, ,,,2021,GB,,International NGO,Article19,
KE-NCB-21805120080955572,ashoka,NGO,Ashoka East Africa,, ,,,#N/A,KE,,International NGO,Ashoka East Africa,
ID-DJP-312529852906000,ajar,NGO,Asia Justice and Rights,, ,,,2020,ID,,Regional NGO,Asia Justice and Rights,
TH-TIN-0993000190092,achr,NGO,Asian Coalition for Housing Rights,, ,,,#N/A,TH,,Regional NGO,Asian Coalition for Housing Rights,
SS-RRC-465,ama-south-sudan,NGO,Assistance Mission for Africa,, ,,,2021,SS,,National NGO,Assistance Mission for Africa,
XI-IATI-ACATBA,acatba,NGO,Association Centrafricaine de Traduction de la Bible et Alphabetisation,, ,,,#N/A,CF,,National NGO,Association Centrafricaine de Traduction de la Bible et Alphabetisation,
XI-IATI-CHSA,chs_alliance,NGO,Association CHS Alliance,, ,,,2020,CH,,International NGO,Association CHS Alliance,
ML-NIF-086108989R,asdap,NGO,Association de Soutien au De�veloppement des Activite�s de Population,, ,,,2020,ML,,National NGO,Association de Soutien au De�veloppement des Activite�s de Population,
BE-BCE_KBO-0424198222,actec,NGO,Association for Cultural Technical and Educational Cooperation (ACTEC),, ,,,2021,BE,,National NGO,Association for Cultural Technical and Educational Cooperation (ACTEC),
BD-NAB-0203,bapsa,NGO,"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",, ,,,2021,BD,,National NGO,"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",
US-EIN-943287156,apc,NGO,Association for Progressive Communication,, ,,,2018,US,,International NGO,Association for Progressive Communication,
NG-CAC-5938,arfh,NGO,Association for Reproductive and Family Health,, ,,,2015,NG,,National NGO,Association for Reproductive and Family Health,
US-EIN-521291786,awid,NGO,Association for Women's Rights in Development (AWID),, ,,,2020,US,,International NGO,Association for Women's Rights in Development (AWID),
BE-BCE_KBO-0408095925,ada,NGO,Auto-D̩veloppement Afrique (ADA),, ,,,2020,BE,,National NGO,Auto-D̩veloppement Afrique (ADA),
BE-BCE_KBO-0447404580,asf,NGO,Avocats Sans Fronti̬res,, ,,,2021,BE,,National NGO,Avocats Sans Fronti̬res,
UG-NGB-5914-129,avsi_uganda,NGO,AVSI FOUNDATION IN UGANDA,, ,,,2019,UG,,International NGO,AVSI FOUNDATION IN UGANDA,
LB-MOI-853,avt-l,NGO,AVT-L Association of Victims of Terrorism Lebanon,, ,,,2018,LB,,National NGO,AVT-L Association of Victims of Terrorism Lebanon,
NL-KVK-34106722,awepa,NGO,AWEPA,, ,,,2020,NL,,International NGO,AWEPA,
TZ-TRA-116315386,bawacecy-tz,NGO,Babawatoto Centre For Children and Youth,, ,,,2019,TZ,,National NGO,Babawatoto Centre For Children and Youth,
NP-DAO-DANG-18-046/47,base_22,NGO,Backward Society Education (BASE),, ,,,#N/A,NP,,National NGO,Backward Society Education (BASE),
GB-CHC-1141552,bvf,NGO,Balloon Ventures Foundation,, ,,,2020,GB,,International NGO,Balloon Ventures Foundation,
XI-IATI-BBDN,bbdn,NGO,Bangladesh Business and Disability Network,, ,,,#N/A,BD,,National NGO,Bangladesh Business and Disability Network,
BD-NAB-0271,bnps,NGO,Bangladesh Nari Progati Sangha,, ,,,2018,BD,,National NGO,Bangladesh Nari Progati Sangha,
BD-NAB-2686,bylc,NGO,Bangladesh Youth Leadership Center,, ,,,#N/A,BD,,National NGO,Bangladesh Youth Leadership Center,
GB-CHC-1079599,basicneeds,NGO,BasicNeeds,, ,,,2018,GB,,International NGO,BasicNeeds,
MW-CNM-BCM-CF,bcm-cf,NGO,Baylor College of Medicine Children's Foundation Malawi,, ,,,2018,MW,,National NGO,Baylor College of Medicine Children's Foundation Malawi,
GB-CHC-1076235,bbcmediaaction,NGO,BBC Media Action,, ,,,2020,GB,,International NGO,BBC Media Action,
GB-CHC-1108464,bauk,NGO,Bees Abroad UK,, ,,,2016,GB,,International NGO,Bees Abroad UK,
GB-CHC-1078803,beesfordevelopment,NGO,Bees for Development Trust,, ,,,2020,GB,,International NGO,Bees for Development Trust,
GB-COH-1123241,,,,,,,,,,,,,
BE-BCE_KBO-0463729878,bac,NGO,Benelux Afro Center,, ,,,2020,BE,,National NGO,Benelux Afro Center,
BE-BCE_KBO-0478060441,bismsi,NGO,Beweging voor Internationale Solidariteit - Mouvement pour la Solidarit̩ Internationale,, ,,,2021,BE,,National NGO,Beweging voor Internationale Solidariteit - Mouvement pour la Solidarit̩ Internationale,
FR-RCS-49962201700014,bsf1,NGO,Biblioth̬ques Sans Fronti̬res,, ,,,#N/A,FR,,International NGO,Biblioth̬ques Sans Fronti̬res,
GB-SC-044007,bioclimate,NGO,Bioclimate Research and Development,, ,,,2016,GB,,International NGO,Bioclimate Research and Development,
GB-CC-1098893,blueventures,NGO,Blue Ventures Conservation,, ,,,2016,GB,,International NGO,Blue Ventures Conservation,
GB-CHC-1068839,bond,NGO,Bond,, ,,,2019,GB,,National NGO,Bond,
BE-BCE_KBO-0479222461,bos_plus_tropen,NGO,BOS+ tropen,, ,,,2021,BE,,National NGO,BOS+ tropen,
NL-KVK-41210098,bothends,NGO,Both ENDS,, ,,,2020,NL,,National NGO,Both ENDS,
BD-NAB-002,brac_admin2,NGO,BRAC,, ,,,2018,BD,,International NGO,BRAC,
NL-CCI-20081098,bracintl,NGO,BRAC International,, ,,,2018,NL,,International NGO,BRAC International,
GB-CHC-1115482,bracuk,NGO,BRAC UK,, ,,,2021,GB,,International NGO,BRAC UK,
GB-CHC-1135700,baag,NGO,British & Irish Agencies Afghanistan Group,, ,,,2021,GB,,International NGO,British & Irish Agencies Afghanistan Group,
GB-CHC-1127366,b_a_t,NGO,British Asian Trust,, ,,,2018,GB,,International NGO,British Asian Trust,
GB-CHC-220949,gb-chc-220949,NGO,British Red Cross,, ,,,#N/A,GB,,International NGO,British Red Cross,
BE-BCE_KBO-0418088113,bd,NGO,Broederlijk Delen,, ,,,2021,BE,,National NGO,Broederlijk Delen,
US-EIN-52-1764268,bsr_admin,NGO,BSR,, ,,,2016,US,,International NGO,BSR,
UG-NGB-10890,bucksfarm,NGO,Bucks Community NGO,, ,,,2018,UG,,National NGO,Bucks Community NGO,
GB-CHC-298316,buildafrica,NGO,Build Africa,, ,,,2021,GB,,International NGO,Build Africa,
NP-SWC-27288,bvs-nepal,NGO,Burns Violence Survivors - Nepal,, ,,,2017,NP,,National NGO,Burns Violence Survivors - Nepal,
GB-CHC-297716,bitc,NGO,Business in the Community,, ,,,2019,GB,,International NGO,Business in the Community,
GB-CHC-1029161,camfed,NGO,Camfed International,, ,,,2021,GB,,International NGO,Camfed International,
CA_ON-ONT-1597880,canadem,NGO,CANADEM,, ,,,2021,CA,,International NGO,CANADEM,
GB-CHC-1102028,canoncollinstrust,NGO,Canon Collins Trust,, ,,,2014,GB,,International NGO,Canon Collins Trust,
NL-KVK-68758766,capabui,NGO,CAPABUILD,, ,,,2019,NL,,International NGO,CAPABUILD,
BJ-IFU-5201000673108,carebenintogo,NGO,CARE BENIN/TOGO,, ,,,2020,US,,International NGO,CARE BENIN/TOGO,
DK-CVR-12921047,12921047,NGO,CARE Danmark Fonden for Frivillig Ulandsbistand,, ,,,2021,DK,,National NGO,CARE Danmark Fonden for Frivillig Ulandsbistand,
AF-MOE-22,ciafg,NGO,CARE International Afghanistan,, ,,,2018,AF,,International NGO,CARE International Afghanistan,
XM-OCHA-HPC8568,cis,NGO,CARE international foundation Switzerland in Sudan,, ,,,2020,SD,,International NGO,CARE international foundation Switzerland in Sudan,
ZW-PVO-15/2003,ciz,NGO,CARE International in Zimbabwe,, ,,,2018,ZW,,International NGO,CARE International in Zimbabwe,
GB-CHC-292506,ciuk,NGO,CARE International UK,, ,,,2021,GB,,International NGO,CARE International UK,
NL-KVK-41158230,carenederland,NGO,CARE Nederland,, ,,,2021,NL,,International NGO,CARE Nederland,
NP-IRD-302274734,cnepal,NGO,CARE Nepal,, ,,,2019,NP,,International NGO,CARE Nepal,
KE-NCB-218/051/9384/74,csom1,NGO,CARE SOMALIA,, ,,,2020,KE,,National NGO,CARE SOMALIA,
GB-CHC-1150214,cww,NGO,Carers Worldwide,, ,,,2017,GB,,International NGO,Carers Worldwide,
DK-CVR-29439915,caritas_denmark,NGO,Caritas Denmark,, ,,,2021,DK,,National NGO,Caritas Denmark,
FI-PRO-139407,caritasfin,NGO,Caritas Finland,, ,,,#N/A,FI,,National NGO,Caritas Finland,
BE-BCE_KBO-0410644946,cibe,NGO,Caritas International (Belgium),, ,,,2021,BE,,National NGO,Caritas International (Belgium),
RS-APR-17062603,caritas_serbia,NGO,Caritas Serbia,, ,,,#N/A,,,National NGO,Caritas Serbia,
DE-CR-RA000220-VR9971,carpo,NGO,CARPO - Center for Applied Research in Partnership with the Orient,, ,,,#N/A,DE,,International NGO,CARPO - Center for Applied Research in Partnership with the Orient,
GB-CHC-285776,cafod,NGO,Catholic Agency For Overseas Development (CAFOD),, ,,,2021,GB,,International NGO,Catholic Agency For Overseas Development (CAFOD),
US-EIN-13-5563422,crs,NGO,Catholic Relief Services,, ,,,2021,US,,International NGO,Catholic Relief Services,
US-IRS-562339052,cda,NGO,CDA Collaborative Learning Projects,, ,,,2012,US,,International NGO,CDA Collaborative Learning Projects,
GB-CHC-1178168,cdacnetwork,NGO,CDAC Network,, ,,,2021,GB,,International NGO,CDAC Network,
GB-CHC-1122330,cdp,NGO,CDP Worldwide,, ,,,2021,GB,,International NGO,CDP Worldwide,
GB-CHC-1071660,cecily,NGO,Cecily's Fund,, ,,,2016,GB,,International NGO,Cecily's Fund,
