Recipient.Organization,ngotype,year
NGO Consortium,Southern International NGO,
International Council of Voluntary Agencies,International NGO,
Save the Children,International NGO,
Solidarités International,International NGO,
International Rescue Committee,International NGO,
Norwegian People's Aid,International NGO,
Norwegian Refugee Council,International NGO,
CARE International,International NGO,
OXFAM,International NGO,
MEDAIR,International NGO,
Concern Worldwide,International NGO,
Catholic Relief Services,International NGO,
ACT Alliance / Church of Sweden,International NGO,
OXFAM GB,International NGO,
Islamic Relief Worldwide,International NGO,
Agency for Technical Cooperation and Development,International NGO,
Caritas Germany (DCV),International NGO,
Help - Hilfe zur Selbsthilfe e.V.,International NGO,
Action Contre la Faim,International NGO,
Mission Enfance,International NGO,
Association Help -Tchad pour le développement,Local NGO,
Johanniter Unfallhilfe e.V.,International NGO,
African Medical and Research Foundation,Southern International NGO,
ACT Alliance / DanChurchAid,International NGO,
Relief International,International NGO,
Mission Ost - DNK,International NGO,
Médecins sans Frontières,International NGO,
Cooperazione Internazionale - COOPI,International NGO,
GOAL,International NGO,
Danish Refugee Council,International NGO,
CARITAS,International NGO,
Caritas Niger/Caritas Développement Niger,National NGO,
Caritas Chad,National NGO,
Adventist Development and Relief Agency,International NGO,
Handicap International / Humanity & Inclusion,International NGO,
ONGD - FNEL,International NGO,
NGOs (details not yet provided),Undefined NGO,
Alliance for International Medical Action,International NGO,
INTERSOS Humanitarian Aid Organization,International NGO,
Samaritan's Purse,International NGO,
Confident Children out of Conflict,Local NGO,
International Medical Corps UK,International NGO,
Community in Need Aid,National NGO,
Nonviolent Peaceforce,International NGO,
Nile Hope,National NGO,
Danish De-mining Group,International NGO,
Standard Action Liaison Focus,Local/National NGO,
Universal Intervention and Development Organization,National NGO,
Hold the Child Organisation,National NGO,
Universal Network for Knowledge and Empowerment Agency,National NGO,
Polish Humanitarian Action,International NGO,
ACT Alliance / Lutheran World Federation,International NGO,
Lacha Community and Economic Development,National NGO,
South Sudan Development Agency,International NGO,
Medici con l'Africa CUAMM,International NGO,
Comitato Collaborazione Medica,International NGO,
Christian Mission Aid,International NGO,
Health Link South Sudan,National NGO,
Sudan Medical Care,National NGO,
IBIS,International NGO,
ACT Alliance / Finn Church Aid,International NGO,
Advocates Coalition for Rights and Development,National NGO,
Community Agribusiness Development Agency,National NGO,
Fashoda Youth Forum,National NGO,
Plan International,International NGO,
Arbeiter-Samariter-Bund Deutschland e.V,International NGO,
ACT Alliance / Diakonie Katastrophenhilfe,International NGO,
International NGO Safety Organisation,International NGO,
Triangle Génération Humanitaire,International NGO,
Humedica,International NGO,
Arche Nova E.V. - Initiative for People in Need,International NGO,
World Vision International,International NGO,
Deutsche Welthungerhilfe e.V. (German Agro Action),International NGO,
Women And Health Alliance,International NGO,
Global Network for Disaster Reduction,International NGO,
CARE Australia,International NGO,
Médecins du Monde France,International NGO,
Malteser International Order of Malta World Relief,International NGO,
International Planned Parenthood Federation,International NGO,
Medico International,International NGO,
Focus Humanitarian Assistance,International NGO,
Royal Health Awareness Society,National NGO,
Syrian American Medical Society Foundation,International NGO,
Start Fund,International NGO,
Terre des Hommes International,International NGO,
Médicos del Mundo Spain,International NGO,
Médecins sans Frontières - Netherlands,International NGO,
Première Urgence (until 2010),International NGO,
Médecins sans Frontières - Belgium,International NGO,
Les Sarments de Lavaux,International NGO,
Swiss AIDS Care International,International NGO,
Première Urgence - Aide Médicale Internationale (from 2011 to 2015),International NGO,
Oxfam Intermon,International NGO,
Union des Organisations Syrienne de Secours Médicaux,International NGO,
AMEL - Lebanese Association for Popular Action,National NGO,
ACF - France,International NGO,
ACF - Spain,International NGO,
Center for Victims of Torture,International NGO,
Food for the Hungry International,International NGO,
CARE Canada,International NGO,
OXFAM America,International NGO,
World Wildlife Fund,International NGO,
Asian Disaster Preparedness Centre,Southern International NGO,
Hope International Development Agency,International NGO,
VENRO,International NGO,
Médecins sans Frontières - Canada,International NGO,
Counterpart International,International NGO,
Buddhist Tzu Chi Foundation,International NGO,
Fondation Caritas Luxembourg,International NGO,
Aide í  l''Enfance de l''Inde,International NGO,
Chrétiens pour le Sahel,International NGO,
Handicap International Luxembourg,International NGO,
TEARFUND,International NGO,
"ACT Alliance / Diakonia, Sweden",International NGO,
Medical Aid for Palestinians,International NGO,
Terre des Hommes - Italy,International NGO,
ZOA,International NGO,
Association for Aid and Relief Japan,International NGO,
CWS Japan,International NGO,
Japan Emergency NGO,International NGO,
International Campaign to Abolish Nuclear Weapons (ICAN),International NGO,
International Volunteer Center of Yamagata,International NGO,
Kokkyo naki Kodomotachi (Children without Borders),International NGO,
Peace Winds Japan,International NGO,
CANADEM,International NGO,
Vento di Terra,International NGO,
PARCIC,International NGO,
Japan Center for Conflict Prevention,International NGO,
SOS Kinderdorf,International NGO,
Development and Peace,International NGO,
Médecins du Monde,International NGO,
ACT Alliance / Lutheran World Relief (LWR/Canada),International NGO,
CARE Somalia,Internationally affiliated NGO,
Cooperazione E Sviluppo - CESVI,International NGO,
Médecins du Monde Belgium,International NGO,
Catholic Agency for Overseas Development,International NGO,
International Medical Corps,International NGO,
Associazione Internazionale Volontari Laici,International NGO,
Médecins sans Frontières - Switzerland,International NGO,
ACF - USA,International NGO,
OXFAM Netherlands (NOVIB),International NGO,
Vétérinaires sans Frontières (Switzerland),International NGO,
Joint Aid Management International,Southern International NGO,
World Relief,International NGO,
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,International NGO,
World Vision South Sudan,Internationally affiliated NGO,
Support for Peace and Education Development Program,National NGO,
The Health Support Organization,Southern International NGO,
Fida International,International NGO,
World Vision Canada,International NGO,
Stichting CARE Nederland,International NGO,
SOS Sahel International,International NGO,
People in Need,International NGO,
Food for the Hungry,International NGO,
CARE Austria,International NGO,
World Vision  Netherlands,International NGO,
OXFAM Quebec,International NGO,
Mercy Corps,International NGO,
Canadian Catholic Organization for Development and Peace (Caritas Canada),International NGO,
ACT Alliance / Canadian Lutheran World Relief,International NGO,
Association Persis Valais,International NGO,
Association of International Development Agencies,International NGO,
Swedish Mission Council,International NGO,
CARE Luxembourg,International NGO,
Kindernothilfe e.V.,International NGO,
Vétérinaires sans Frontières (Germany),International NGO,
Svenska Missionsradet,International NGO,
Ramakrishna Mission,Southern International NGO,
CARE France,International NGO,
Trocaire,International NGO,
Practical Action (formerly Intermediate Technology Development Group),International NGO,
ChildFund International,International NGO,
Rebuild and Relief International NGO gGmbH,International NGO,
Mission East,International NGO,
Care for Children and Old Age in South Sudan,National NGO,
Christian Mission for Development,National NGO,
Good Neighbours Inc,International NGO,
Danish Committee for Aid to Afghan Refugees,International NGO,
Vision Hope International,International NGO,
Plan Ireland,International NGO,
Aga Khan Foundation,International NGO,
Caritas Switzerland,International NGO,
OXFAM Belgium,International NGO,
La chaine de l'espoir,International NGO,
Alinshat Area  Association (Inshaat),National NGO,
Circassian Charity Association,National NGO,
iMMAP,International NGO,
Agronomes et Vétérinaires Sans Frontières,International NGO,
Plan Sweden,International NGO,
HelpAge International UK,International NGO,
Care Germany,International NGO,
OXFAM Ireland,International NGO,
War Child,International NGO,
Solidar Suisse,International NGO,
CARE Ecuador,Internationally affiliated NGO,
HALO Trust,International NGO,
Catholic Organisation for Relief and Development Aid,International NGO,
ActionAid International,International NGO,
La Strada International / Open Gate,International NGO,
Macedonian Young Lawyers Association (MYLA),National NGO,
Operation Mercy,International NGO,
NOSTOS - Organisation for Social Integration,National NGO,
Solidarity Now,National NGO,
Human Appeal International (UAE),Southern International NGO,
Caritas Hellas - Caritas Greece,National NGO,
KSPM-ERP Integration Centre for Migrant Workers - Ecumenical Refugee Program,National NGO,
Nun Kultura,National NGO,
Internews,International NGO,
Macedonia Centre for International Cooperation,National NGO,
Dorcas Aid International,International NGO,
International Islamic Relief Organization,Southern International NGO,
SOS Villages d'Enfants,International NGO,
Agency for Cooperation and Research in Development,Southern International NGO,
Project Concern International,International NGO,
Volunteer Organization for the International Co-operation la Nostra Famiglia,International NGO,
Mission am Nill,International NGO,
Gruppo Volontariato Civile,International NGO,
Medicus Mundi,International NGO,
SWISSO - Kalmo,International NGO,
International Dalit Solidarity Network,International NGO,
Norwegian Aid Committee,International NGO,
Arab Reporters for Investigative Journalism,Southern International NGO,
LEGIS,National NGO,
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",International NGO,
ARSIS Association for the Social Support of Youth,National NGO,
Caritas Athens,National NGO,
Association Morija,International NGO,
InformAction,International NGO,
Syrian Society for Social Development,National NGO,
Oxfam Italia,International NGO,
OXFAM Canada,International NGO,
Direct Aid,Southern International NGO,
German Toilet Organization e.V.,International NGO,
The Mentor Initiative,International NGO,
World Vision USA,International NGO,
World Neighbors,International NGO,
Plan Canada,International NGO,
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,International NGO,
Care Peru,Internationally affiliated NGO,
The Asia Foundation,International NGO,
ACT Alliance / Norwegian Church Aid,International NGO,
Fundación Plan,National NGO,
ACT Alliance / Christian Aid,International NGO,
Secours Catholique et Développement,International NGO,
Oeuvre d'Orient,International NGO,
HumaniTerra International,International NGO,
Afkar Society for Development and Human Relief,National NGO,
War Child UK,International NGO,
The United Iraqi Medical Society for Relief and Development,National NGO,
Heevie Kurdistan Development,Local NGO,
United Foundation for Relief and Abiding Development,National NGO,
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,International NGO,
Al Mamoura Humanitarian Establishment,Local NGO,
KAALO Relief and Development Organisation,National NGO,
American Refugee Committee,International NGO,
Muslim Aid,International NGO,
Norwegian Society for Sea Rescue,International NGO,
Stiftung KARIBU Kinderhilfe,International NGO,
Christian Solidarity International,International NGO,
GRET,International NGO,
Institut Européen de Coopération et de Développement,International NGO,
Secours Islamique France,International NGO,
Afghanaid,International NGO,
MADERA,International NGO,
Association pour le développement social et la sauvegarde de lenvironnement,National NGO,
Al Afia Fund Charity,Local/National NGO,
Al-Birr Association for Charity and Social Services,National NGO,
