Recipient.Organization,recipientcodename,year
Afghan Red Crescent,red cross,
Red Cross Organizations | UN Agencies | NGOs,Undefined,
Alshroog Organization for Social and Culture Development,Undefined,
Global Earthquake Model Foundation,Undefined,
Association d'aide í  la femme et de la communication,Undefined,
NGOs | Red Cross Organizations | UN Agencies,Undefined,
NGOs | UN Agencies,Undefined,
UN Agencies | NGOs,Undefined,
Association for the Advancement of Democratic Rights-Legal Aid,Undefined,
Mother and Children Development Aid,Undefined,
Red Cross Organizations | UN Agencies,Undefined,
Red Cross Organizations | NGOs | UN Agencies,Undefined,
UN Agencies | Red Cross Organizations | NGOs,Undefined,
Life for Syria,Undefined,
íganizasyon Fanm tou Nèf Balan,Undefined,
Hidig Relief And Development Organization,Undefined,
SHARE,Undefined,
Programme de Promotion de Soins de Santé Primaires (PPSSP),Undefined,
Shafaq Rehabilitation Organization (SHA),Undefined,
YME Foundation,Undefined,
Japan Platform,Undefined,
NGOs | UN Agencies | Red Cross Organizations,Undefined,
Norsk Journalistlag,Undefined,
Vetwork Services Trust,Undefined,
Association LRC,Undefined,
Africa Relief Committee,Undefined,
Association Elyed Eloulya pour lAide des Necessiteux et la Protection des Enfants,Undefined,
Sri Lankan Merciful,Undefined,
Fondacioni Miresia,Undefined,
Nurture and Reform Organization,Undefined,
Al-Bir Wa Al-Ehsan Association in Ras AlAin (Al-Bir Wa Al-Ehsan in Ras AlAin),Undefined,
Greek Orthodox Patriarchate of Antioch and all of the East,Undefined,
Render Effective Aid to CHildren,Undefined,
Al Taalouf Charity Association,Undefined,
Dolphin for Development,Undefined,
ASSIST,Undefined,
Association Arbre de Vie,Undefined,
Islamic Charity Association - Aoun for relief and Development,Undefined,
Partners Turkey,Undefined,
Community Initiative for Sustainable Development Agency,Undefined,
Management and Resources for Community Health,Undefined,
Khadija Foundation for Development,Undefined,
Action Solidaire aux Vulnérables,Undefined,
Humanitaires sans Frontières,Undefined,
UN Agencies | NGOs | Red Cross Organizations,Undefined,
Health Care and Relief Foundation,Undefined,
Yemen National Committee for Human Rights,Undefined,
Success Initiatives Inc.,Undefined,
Solidarité laique,Undefined,
Yemeni Association for relief and development,Undefined,
Charitable Association for Giving,Undefined,
Almanara Humanitarian Charitable Society,Undefined,
South Darfur Net for HIV/AIDS Campaign,Undefined,
Ceilu,Undefined,
Vijana ya Panda Tujenge,Undefined,
Democracy School,Undefined,
Alliance Nationale Contre la Faim et la Malnutrition,Undefined,
Fondation de l'Ordre de Malte pour le Liban,Undefined,
Humanity Brotherhood Association  for Human Rights,Undefined,
Centre spécialisé d'appui í  la promotion et í  la modernisation de l'élévage,Undefined,
Programme Against Malnutrition,Undefined,
Communauté des Eglises de Pentecôte au Burundi,Undefined,
World Food Programme,UN Multi,
Food & Agriculture Organization of the United Nations,UN Multi,
International Organization for Migration,UN Multi,
United Nations Population Fund,UN Multi,
United Nations Children's Fund,UN Multi,
World Health Organization,UN Multi,
"United Nations Educational, Scientific and Cultural Organization",UN Multi,
United Nations High Commissioner for Refugees,UN Multi,
Office of the High Commissioner for Human Rights,UN Multi,
United Nations Mine Action Service,UN Multi,
United Nations Voluntary Trust Fund on Mine Action,UN Multi,
United Nations Mission in Kosovo,UN Multi,
United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN Multi,
United Nations Development Programme,UN Multi,
Pan-American Health Organization (World Health Organization),UN Multi,
United Nations Human Settlements Programme (UN-HABITAT),UN Multi,
Office for the Coordination of Humanitarian Affairs,UN Multi,
Central Emergency Response Fund,UN Multi,
United Nations Interim Force in Lebanon,UN Multi,
UN Office for Disaster Risk Reduction (formerly UNISDR),UN Multi,
Specially Designated Contributions (OCHA),UN Multi,
United Nations Office for Project Services,UN Multi,
United Nations Industrial Development Organization,UN Multi,
UN Agencies,UN Multi,
United Nations Register of Damage,UN Multi,
United Nations Humanitarian Air Service,UN Multi,
International Labour Organization,UN Multi,
UN Women,UN Multi,
